TermTested,TermRostered,DistrictName,SchoolName,Teacher,ClassName,Subject,Course,ASGType,GrowthComparisonPeriod,NormsReferenceData,WIStartTerm,WIEndTerm,StudentID,StudentLastName,StudentFirstName,StudentGrade,TestDate,StartRIT,StartRITSEM,StartPercentile,StartTestDuration,EndTestDate,EndRIT,EndRITSEM,EndPercentile,EndTestDuration,ProjectedRIT,ProjectedGrowth,ObservedGrowth,ObservedGrowthSE,GrowthIndex,MetGrowthProjection?,ConditionalGrowthIndex,ConditionalGrowthPercentile,CountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores,CountofStudentswhoMetorExceededtheirProjectedGrowth,PercentageofStudentswhoMetorExceededtheirProjectedRIT,PercentageofProjectedGrowthMet,MedianConditionalGrowthPercentile,StartGrowthandAchievement,EndGrowthandAchievement,ConditionalGrowthPercentileAxis,AchievementPercentileAxis
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250020,Andersson,Nils,5,2025-09-09,223,3.1,87,59,2026-05-05,224,3.1,83,60,226,3,1,4.4,-2,No,-0.22,41,23,12,52,136,54,Average Growth / High Achievement,Average Growth / High Achievement,41,83
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250021,Aziz,Mariam,5,2025-09-09,231,3.1,94,62,2026-05-05,220,2.8,76,54,233,2,-11,4.2,-13,No,-1.44,7,23,12,52,136,54,Low Growth / High Achievement,Low Growth / High Achievement,7,76
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250013,Boateng,Kwame,5,2025-09-09,196,3.1,32,45,2026-05-05,200,3.0,32,35,202,6,4,4.3,-2,No,-0.22,41,23,12,52,136,54,Average Growth / Low Achievement,Average Growth / Low Achievement,41,32
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250023,Chatterjee,Kavya,5,2025-09-09,189,3.0,19,45,2026-05-05,199,3.3,30,35,196,7,10,4.5,3,Yes,0.33,63,23,12,52,136,54,High Growth / Low Achievement,High Growth / Low Achievement,63,30
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250014,Dubois,Chloé,5,2025-09-09,206,3.0,55,41,2026-05-05,218,3.2,72,45,211,5,12,4.4,7,Yes,0.78,78,23,12,52,136,54,High Growth / Average Achievement,High Growth / High Achievement,78,72
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250006,Herrera,Santiago,5,2025-09-09,199,2.8,38,49,2026-05-05,208,3.2,50,45,205,6,9,4.3,3,Yes,0.33,63,23,12,52,136,54,High Growth / Low Achievement,High Growth / Average Achievement,63,50
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250003,Iyer,Priya,5,2025-09-09,210,3.2,64,46,2026-05-05,223,3.0,81,50,214,4,13,4.4,9,Yes,1.00,84,23,12,52,136,54,High Growth / High Achievement,High Growth / High Achievement,84,81
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250002,Khoury,Omar,5,2025-09-09,203,3.1,48,49,2026-05-05,206,3.8,45,27,208,5,3,4.9,-2,No*,-0.22,41,23,12,52,136,54,Average Growth / Average Achievement,Average Growth / Average Achievement,41,45
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250001,Mensah,Amara,5,2025-09-09,219,2.8,81,56,2026-05-05,235,3.2,94,50,222,3,16,4.3,13,Yes,1.44,93,23,12,52,136,54,High Growth / High Achievement,High Growth / High Achievement,93,94
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250019,Moyo,Tendai,5,2025-09-09,230,3.2,94,62,2026-05-05,244,3.2,98,75,232,2,14,4.5,12,Yes,1.33,91,23,12,52,136,54,High Growth / High Achievement,High Growth / High Achievement,91,98
