Term Tested,District Name,School Name,Instructor Name,Class Name,Student ID,Student Last Name,Student First Name,Student Grade,Subject,Course,Test Name,Date Tested,Duration,Test RIT Score,Standard Error,Test Percentile,Percent Rapid Guessed,Lexile,Quantile,Instructional Area 1 Name,Instructional Area 1 RIT,Instructional Area 1 StdErr,Instructional Area 2 Name,Instructional Area 2 RIT,Instructional Area 2 StdErr,Instructional Area 3 Name,Instructional Area 3 RIT,Instructional Area 3 StdErr,Instructional Area 4 Name,Instructional Area 4 RIT,Instructional Area 4 StdErr,Instructional Area 5 Name,Instructional Area 5 RIT,Instructional Area 5 StdErr
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250020,Andersson,Nils,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,60,224,3.1,83,0,995L,,Literary Text: Key Ideas and Details,221,7.2,"Literary Text: Language, Craft, and Structure",234,7.5,Informational Text: Key Ideas and Details,228,7.0,"Informational Text: Language, Craft, and Structure",224,7.4,Vocabulary: Acquisition and Use,216,7.5
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250021,Aziz,Mariam,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,54,220,2.8,76,0,930L,,Literary Text: Key Ideas and Details,228,7.5,"Literary Text: Language, Craft, and Structure",215,7.3,Informational Text: Key Ideas and Details,216,7.8,"Informational Text: Language, Craft, and Structure",222,7.3,Vocabulary: Acquisition and Use,215,7.4
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250013,Boateng,Kwame,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,35,200,3.0,32,4,600L,,Literary Text: Key Ideas and Details,201,7.6,"Literary Text: Language, Craft, and Structure",191,7.1,Informational Text: Key Ideas and Details,212,7.3,"Informational Text: Language, Craft, and Structure",203,7.7,Vocabulary: Acquisition and Use,188,7.5
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250023,Chatterjee,Kavya,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,35,199,3.3,30,3,585L,,Literary Text: Key Ideas and Details,203,7.0,"Literary Text: Language, Craft, and Structure",206,7.2,Informational Text: Key Ideas and Details,181,7.4,"Informational Text: Language, Craft, and Structure",204,7.7,Vocabulary: Acquisition and Use,203,7.3
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250014,Dubois,Chloé,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,45,218,3.2,72,0,895L,,Literary Text: Key Ideas and Details,211,7.4,"Literary Text: Language, Craft, and Structure",211,7.2,Informational Text: Key Ideas and Details,213,7.8,"Informational Text: Language, Craft, and Structure",220,7.0,Vocabulary: Acquisition and Use,232,7.6
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250006,Herrera,Santiago,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,45,208,3.2,50,0,730L,,Literary Text: Key Ideas and Details,212,7.1,"Literary Text: Language, Craft, and Structure",218,7.6,Informational Text: Key Ideas and Details,209,7.1,"Informational Text: Language, Craft, and Structure",206,7.4,Vocabulary: Acquisition and Use,198,7.8
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250003,Iyer,Priya,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,50,223,3.0,81,0,980L,,Literary Text: Key Ideas and Details,222,7.8,"Literary Text: Language, Craft, and Structure",228,7.7,Informational Text: Key Ideas and Details,207,7.3,"Informational Text: Language, Craft, and Structure",234,7.3,Vocabulary: Acquisition and Use,222,7.8
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250002,Khoury,Omar,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,27,206,3.8,45,18,700L,,Literary Text: Key Ideas and Details,209,8.3,"Literary Text: Language, Craft, and Structure",208,8.3,Informational Text: Key Ideas and Details,198,8.4,"Informational Text: Language, Craft, and Structure",211,8.4,Vocabulary: Acquisition and Use,205,8.0
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250001,Mensah,Amara,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,50,235,3.2,94,0,1180L,,Literary Text: Key Ideas and Details,248,7.6,"Literary Text: Language, Craft, and Structure",241,7.2,Informational Text: Key Ideas and Details,235,7.1,"Informational Text: Language, Craft, and Structure",220,7.8,Vocabulary: Acquisition and Use,232,7.7
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250019,Moyo,Tendai,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,75,244,3.2,98,0,1325L,,Literary Text: Key Ideas and Details,251,7.5,"Literary Text: Language, Craft, and Structure",250,7.7,Informational Text: Key Ideas and Details,245,7.5,"Informational Text: Language, Craft, and Structure",238,7.7,Vocabulary: Acquisition and Use,234,7.1
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250008,Müller,Lukas,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,47,226,3.1,86,0,1030L,,Literary Text: Key Ideas and Details,231,7.3,"Literary Text: Language, Craft, and Structure",218,7.2,Informational Text: Key Ideas and Details,240,7.5,"Informational Text: Language, Craft, and Structure",211,7.5,Vocabulary: Acquisition and Use,227,7.7
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250010,Nair,Arjun,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,52,193,3.1,19,0,485L,,Literary Text: Key Ideas and Details,202,7.0,"Literary Text: Language, Craft, and Structure",206,7.4,Informational Text: Key Ideas and Details,194,7.4,"Informational Text: Language, Craft, and Structure",186,7.5,Vocabulary: Acquisition and Use,183,7.4
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250011,Nakamura,Yuna,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,39,221,3.2,78,4,945L,,Literary Text: Key Ideas and Details,221,7.3,"Literary Text: Language, Craft, and Structure",224,7.3,Informational Text: Key Ideas and Details,217,7.1,"Informational Text: Language, Craft, and Structure",223,7.4,Vocabulary: Acquisition and Use,222,7.6
